TimeStep,"DTdt","T","Tn","Points:0","Points:1","Points:2"
11,nan,nan,nan,3.96,0,0
11,nan,nan,nan,3.99,0,0
11,nan,nan,nan,4.02,0,0
11,nan,nan,nan,4.05,0,0
11,nan,nan,nan,4.08,0,0
11,nan,nan,nan,4.11,0,0
11,nan,nan,nan,4.14,0,0
11,nan,nan,nan,4.17,0,0
11,nan,nan,nan,4.2,0,0
11,nan,nan,nan,4.23,0,0
11,nan,nan,nan,4.26,0,0
11,nan,nan,nan,4.29,0,0
11,nan,nan,nan,4.32,0,0
11,nan,nan,nan,4.35,0,0
11,nan,nan,nan,4.38,0,0
11,nan,nan,nan,4.41,0,0
11,nan,nan,nan,4.44,0,0
11,nan,nan,nan,4.47,0,0
11,nan,nan,nan,4.5,0,0
11,nan,nan,nan,4.53,0,0
11,nan,nan,nan,4.56,0,0
11,nan,nan,nan,4.59,0,0
11,nan,nan,nan,4.62,0,0
11,nan,nan,nan,4.65,0,0
11,nan,nan,nan,4.68,0,0
11,nan,nan,nan,4.71,0,0
11,nan,nan,nan,4.74,0,0
11,nan,nan,nan,4.77,0,0
11,nan,nan,nan,4.8,0,0
11,nan,nan,nan,4.83,0,0
11,nan,nan,nan,4.86,0,0
11,nan,nan,nan,4.89,0,0
11,nan,nan,nan,4.92,0,0
11,nan,nan,nan,4.95,0,0
11,nan,nan,nan,4.98,0,0
11,0.0022845,25,25,5.01,0,0
11,0.0021628,25,25,5.04,0,0
11,0.0020308,25,25,5.07,0,0
11,0.0018937,25,25,5.1,0,0
11,0.0017554,25,25,5.13,0,0
11,0.0016189,25,25,5.16,0,0
11,0.0014862,25,25,5.19,0,0
11,0.0013589,25,25,5.22,0,0
11,0.0012382,25,25,5.25,0,0
11,0.0011245,25,25,5.28,0,0
11,0.0010183,25,25,5.31,0,0
11,0.00091961,25,25,5.34,0,0
11,0.00082849,25,25,5.37,0,0
11,0.00074471,25,25,5.4,0,0
11,0.000668,25,25,5.43,0,0
11,0.00059802,25,25,5.46,0,0
11,0.00053438,25,25,5.49,0,0
11,0.00047669,25,25,5.52,0,0
11,0.00042454,25,25,5.55,0,0
11,0.0003775,25,25,5.58,0,0
11,0.00033518,25,25,5.61,0,0
11,0.00029719,25,25,5.64,0,0
11,0.00026315,25,25,5.67,0,0
11,0.00023271,25,25,5.7,0,0
11,0.00020553,25,25,5.73,0,0
11,0.00018131,25,25,5.76,0,0
11,0.00015976,25,25,5.79,0,0
11,0.00014061,25,25,5.82,0,0
11,0.00012363,25,25,5.85,0,0
11,0.00010858,25,25,5.88,0,0
11,9.5262e-05,25,25,5.91,0,0
11,8.3495e-05,25,25,5.94,0,0
11,7.311e-05,25,25,5.97,0,0
11,6.3955e-05,25,25,6,0,0
11,5.5894e-05,25,25,6.03,0,0
11,4.8804e-05,25,25,6.06,0,0
11,4.2576e-05,25,25,6.09,0,0
11,3.7109e-05,25,25,6.12,0,0
11,3.2316e-05,25,25,6.15,0,0
11,2.8118e-05,25,25,6.18,0,0
11,2.4445e-05,25,25,6.21,0,0
11,2.1234e-05,25,25,6.24,0,0
11,1.8429e-05,25,25,6.27,0,0
11,1.5982e-05,25,25,6.3,0,0
11,1.385e-05,25,25,6.33,0,0
11,1.1992e-05,25,25,6.36,0,0
11,1.0375e-05,25,25,6.39,0,0
11,8.9698e-06,25,25,6.42,0,0
11,7.7488e-06,25,25,6.45,0,0
11,6.6891e-06,25,25,6.48,0,0
11,5.77e-06,25,25,6.51,0,0
11,4.9736e-06,25,25,6.54,0,0
11,4.284e-06,25,25,6.57,0,0
11,3.6874e-06,25,25,6.6,0,0
11,3.1716e-06,25,25,6.63,0,0
11,2.7261e-06,25,25,6.66,0,0
11,2.3415e-06,25,25,6.69,0,0
11,2.0099e-06,25,25,6.72,0,0
11,1.724e-06,25,25,6.75,0,0
11,1.4778e-06,25,25,6.78,0,0
11,1.2659e-06,25,25,6.81,0,0
11,1.0837e-06,25,25,6.84,0,0
11,9.2715e-07,25,25,6.87,0,0
11,7.9268e-07,25,25,6.9,0,0
11,6.7729e-07,25,25,6.93,0,0
11,5.7833e-07,25,25,6.96,0,0
11,4.9353e-07,25,25,6.99,0,0
11,4.209e-07,25,25,7.02,0,0
11,3.5875e-07,25,25,7.05,0,0
11,3.0559e-07,25,25,7.08,0,0
11,2.6015e-07,25,25,7.11,0,0
11,2.2134e-07,25,25,7.14,0,0
11,1.8821e-07,25,25,7.17,0,0
11,1.5995e-07,25,25,7.2,0,0
11,1.3585e-07,25,25,7.23,0,0
11,1.1532e-07,25,25,7.26,0,0
11,9.7843e-08,25,25,7.29,0,0
11,8.2967e-08,25,25,7.32,0,0
11,7.0315e-08,25,25,7.35,0,0
11,5.9561e-08,25,25,7.38,0,0
11,5.0426e-08,25,25,7.41,0,0
11,4.267e-08,25,25,7.44,0,0
11,3.6089e-08,25,25,7.47,0,0
11,3.0507e-08,25,25,7.5,0,0
11,2.5776e-08,25,25,7.53,0,0
11,2.1769e-08,25,25,7.56,0,0
11,1.8375e-08,25,25,7.59,0,0
11,1.5504e-08,25,25,7.62,0,0
11,1.3075e-08,25,25,7.65,0,0
11,1.1021e-08,25,25,7.68,0,0
11,9.2862e-09,25,25,7.71,0,0
11,7.8212e-09,25,25,7.74,0,0
11,6.5842e-09,25,25,7.77,0,0
11,5.5407e-09,25,25,7.8,0,0
11,4.6606e-09,25,25,7.83,0,0
11,3.9186e-09,25,25,7.86,0,0
11,3.2934e-09,25,25,7.89,0,0
11,2.7666e-09,25,25,7.92,0,0
11,2.3232e-09,25,25,7.95,0,0
11,1.9503e-09,25,25,7.98,0,0
11,1.6362e-09,25,25,8.01,0,0
11,1.3723e-09,25,25,8.04,0,0
11,1.1505e-09,25,25,8.07,0,0
11,9.642e-10,25,25,8.1,0,0
11,8.0831e-10,25,25,8.13,0,0
11,6.7729e-10,25,25,8.16,0,0
11,5.673e-10,25,25,8.19,0,0
11,4.7521e-10,25,25,8.22,0,0
11,3.979e-10,25,25,8.25,0,0
11,3.331e-10,25,25,8.28,0,0
11,2.7882e-10,25,25,8.31,0,0
11,2.3334e-10,25,25,8.34,0,0
11,1.9526e-10,25,25,8.37,0,0
11,1.63e-10,25,25,8.4,0,0
11,1.3628e-10,25,25,8.43,0,0
11,1.1383e-10,25,25,8.46,0,0
11,9.5213e-11,25,25,8.49,0,0
11,8.0007e-11,25,25,8.52,0,0
11,6.7075e-11,25,25,8.55,0,0
11,5.6417e-11,25,25,8.58,0,0
11,4.718e-11,25,25,8.61,0,0
11,3.9648e-11,25,25,8.64,0,0
11,3.3395e-11,25,25,8.67,0,0
11,2.8422e-11,25,25,8.7,0,0
11,2.3732e-11,25,25,8.73,0,0
11,1.9753e-11,25,25,8.76,0,0
11,1.6485e-11,25,25,8.79,0,0
11,1.35e-11,25,25,8.82,0,0
11,1.1084e-11,25,25,8.85,0,0
11,9.0949e-12,25,25,8.88,0,0
11,7.2475e-12,25,25,8.91,0,0
11,5.6844e-12,25,25,8.94,0,0
11,4.5475e-12,25,25,8.97,0,0
11,3.6948e-12,25,25,9,0,0
11,2.9843e-12,25,25,9.03,0,0
11,2.2737e-12,25,25,9.06,0,0
11,1.5632e-12,25,25,9.09,0,0
11,9.9476e-13,25,25,9.12,0,0
11,5.6844e-13,25,25,9.15,0,0
11,-2.8912e-18,25,25,9.18,0,0
11,-2.8422e-13,25,25,9.21,0,0
11,-2.8422e-13,25,25,9.24,0,0
11,-2.8421e-13,25,25,9.27,0,0
11,1.4211e-13,25,25,9.3,0,0
11,2.8422e-13,25,25,9.33,0,0
11,2.8422e-13,25,25,9.36,0,0
11,-1.6263e-18,25,25,9.39,0,0
11,-1.4211e-13,25,25,9.42,0,0
11,-1.4211e-13,25,25,9.45,0,0
11,-2.8421e-13,25,25,9.48,0,0
11,-7.1054e-13,25,25,9.51,0,0
11,-8.5265e-13,25,25,9.54,0,0
11,-1.1369e-12,25,25,9.57,0,0
11,-1.1369e-12,25,25,9.6,0,0
11,-1.1369e-12,25,25,9.63,0,0
11,-1.1369e-12,25,25,9.66,0,0
11,-9.9476e-13,25,25,9.69,0,0
11,-8.5265e-13,25,25,9.72,0,0
11,-8.5265e-13,25,25,9.75,0,0
11,-5.6844e-13,25,25,9.78,0,0
11,-4.2632e-13,25,25,9.81,0,0
11,-2.8422e-13,25,25,9.84,0,0
11,-4.2633e-13,25,25,9.87,0,0
11,-4.2633e-13,25,25,9.9,0,0
11,-5.6843e-13,25,25,9.93,0,0
11,-5.6843e-13,25,25,9.96,0,0
11,-7.1054e-13,25,25,9.99,0,0
11,-9.9476e-13,25,25,10.02,0,0
11,-8.5265e-13,25,25,10.05,0,0
11,-5.6843e-13,25,25,10.08,0,0
11,-5.6843e-13,25,25,10.11,0,0
11,-1.421e-13,25,25,10.14,0,0
11,4.2633e-13,25,25,10.17,0,0
11,7.1054e-13,25,25,10.2,0,0
11,8.5265e-13,25,25,10.23,0,0
11,1.1369e-12,25,25,10.26,0,0
11,1.279e-12,25,25,10.29,0,0
11,1.4211e-12,25,25,10.32,0,0
11,1.5632e-12,25,25,10.35,0,0
11,1.4211e-12,25,25,10.38,0,0
11,1.5632e-12,25,25,10.41,0,0
11,1.279e-12,25,25,10.44,0,0
11,1.4211e-12,25,25,10.47,0,0
11,1.5632e-12,25,25,10.5,0,0
11,1.7053e-12,25,25,10.53,0,0
11,1.5632e-12,25,25,10.56,0,0
11,1.1369e-12,25,25,10.59,0,0
11,8.5265e-13,25,25,10.62,0,0
11,7.1054e-13,25,25,10.65,0,0
11,9.9476e-13,25,25,10.68,0,0
11,1.1369e-12,25,25,10.71,0,0
11,1.4211e-12,25,25,10.74,0,0
11,1.8474e-12,25,25,10.77,0,0
11,1.9895e-12,25,25,10.8,0,0
11,1.9895e-12,25,25,10.83,0,0
11,1.5632e-12,25,25,10.86,0,0
11,1.279e-12,25,25,10.89,0,0
11,9.9476e-13,25,25,10.92,0,0
11,8.5265e-13,25,25,10.95,0,0
11,7.1054e-13,25,25,10.98,0,0
11,7.1054e-13,25,25,11.01,0,0
11,4.2633e-13,25,25,11.04,0,0
11,5.6843e-13,25,25,11.07,0,0
11,5.6843e-13,25,25,11.1,0,0
11,5.6843e-13,25,25,11.13,0,0
11,2.8422e-13,25,25,11.16,0,0
11,1.4211e-13,25,25,11.19,0,0
11,1.4211e-13,25,25,11.22,0,0
11,0,25,25,11.25,0,0
11,-2.8421e-13,25,25,11.28,0,0
11,-1.4211e-13,25,25,11.31,0,0
11,-1.4211e-13,25,25,11.34,0,0
11,-5.421e-19,25,25,11.37,0,0
11,-1.4211e-13,25,25,11.4,0,0
11,-2.8422e-13,25,25,11.43,0,0
11,-9.9476e-13,25,25,11.46,0,0
11,-1.4211e-12,25,25,11.49,0,0
11,-1.5632e-12,25,25,11.52,0,0
11,-1.4211e-12,25,25,11.55,0,0
11,-1.279e-12,25,25,11.58,0,0
11,-9.9476e-13,25,25,11.61,0,0
11,-5.6843e-13,25,25,11.64,0,0
11,1.0842e-18,25,25,11.67,0,0
11,4.2632e-13,25,25,11.7,0,0
11,7.1054e-13,25,25,11.73,0,0
11,7.1054e-13,25,25,11.76,0,0
11,8.5265e-13,25,25,11.79,0,0
11,8.5265e-13,25,25,11.82,0,0
11,1.1369e-12,25,25,11.85,0,0
11,1.1369e-12,25,25,11.88,0,0
11,1.1369e-12,25,25,11.91,0,0
11,1.279e-12,25,25,11.94,0,0
11,1.7053e-12,25,25,11.97,0,0
11,1.8474e-12,25,25,12,0,0
11,1.9895e-12,25,25,12.03,0,0
11,2.4158e-12,25,25,12.06,0,0
11,2.4158e-12,25,25,12.09,0,0
11,2.4158e-12,25,25,12.12,0,0
11,1.9895e-12,25,25,12.15,0,0
11,1.7053e-12,25,25,12.18,0,0
11,1.279e-12,25,25,12.21,0,0
11,1.279e-12,25,25,12.24,0,0
11,1.279e-12,25,25,12.27,0,0
11,1.1369e-12,25,25,12.3,0,0
11,8.5265e-13,25,25,12.33,0,0
11,5.6844e-13,25,25,12.36,0,0
11,4.2632e-13,25,25,12.39,0,0
11,-1.4211e-13,25,25,12.42,0,0
11,-5.6843e-13,25,25,12.45,0,0
11,-9.9475e-13,25,25,12.48,0,0
11,-1.279e-12,25,25,12.51,0,0
11,-1.5632e-12,25,25,12.54,0,0
11,-1.5632e-12,25,25,12.57,0,0
11,-1.7053e-12,25,25,12.6,0,0
11,-1.7053e-12,25,25,12.63,0,0
11,-1.7053e-12,25,25,12.66,0,0
11,-1.5632e-12,25,25,12.69,0,0
11,-1.4211e-12,25,25,12.72,0,0
11,-1.4211e-12,25,25,12.75,0,0
11,-1.4211e-12,25,25,12.78,0,0
11,-1.1369e-12,25,25,12.81,0,0
11,-1.279e-12,25,25,12.84,0,0
11,-1.4211e-12,25,25,12.87,0,0
11,-1.5632e-12,25,25,12.9,0,0
11,-1.8474e-12,25,25,12.93,0,0
11,-1.9895e-12,25,25,12.96,0,0
11,-2.2737e-12,25,25,12.99,0,0
11,-2.7001e-12,25,25,13.02,0,0
11,-3.2685e-12,25,25,13.05,0,0
11,-3.6948e-12,25,25,13.08,0,0
11,-3.8369e-12,25,25,13.11,0,0
11,-3.979e-12,25,25,13.14,0,0
11,-3.979e-12,25,25,13.17,0,0
11,-3.979e-12,25,25,13.2,0,0
11,-3.979e-12,25,25,13.23,0,0
11,-3.8369e-12,25,25,13.26,0,0
11,-3.979e-12,25,25,13.29,0,0
11,-4.2633e-12,25,25,13.32,0,0
11,-4.2633e-12,25,25,13.35,0,0
11,-4.2633e-12,25,25,13.38,0,0
11,-3.979e-12,25,25,13.41,0,0
11,-3.979e-12,25,25,13.44,0,0
11,-3.8369e-12,25,25,13.47,0,0
11,-3.6948e-12,25,25,13.5,0,0
11,-3.6948e-12,25,25,13.53,0,0
11,-3.4106e-12,25,25,13.56,0,0
11,-2.9843e-12,25,25,13.59,0,0
11,-2.2737e-12,25,25,13.62,0,0
11,-1.9895e-12,25,25,13.65,0,0
11,-1.8474e-12,25,25,13.68,0,0
11,-1.5632e-12,25,25,13.71,0,0
11,-1.1369e-12,25,25,13.74,0,0
11,-5.6843e-13,25,25,13.77,0,0
11,-1.4211e-13,25,25,13.8,0,0
11,1.4211e-13,25,25,13.83,0,0
11,2.8422e-13,25,25,13.86,0,0
11,4.2633e-13,25,25,13.89,0,0
11,4.2632e-13,25,25,13.92,0,0
11,2.7105e-18,25,25,13.95,0,0
11,1.4211e-13,25,25,13.98,0,0
11,-1.4211e-13,25,25,14.01,0,0
11,-4.2633e-13,25,25,14.04,0,0
11,-4.2633e-13,25,25,14.07,0,0
11,-2.8422e-13,25,25,14.1,0,0
11,-1.4211e-13,25,25,14.13,0,0
11,1.4211e-13,25,25,14.16,0,0
11,1.4211e-13,25,25,14.19,0,0
11,2.8422e-13,25,25,14.22,0,0
11,4.2633e-13,25,25,14.25,0,0
11,4.2633e-13,25,25,14.28,0,0
11,4.2633e-13,25,25,14.31,0,0
11,4.2632e-13,25,25,14.34,0,0
11,1.6263e-18,25,25,14.37,0,0
11,-2.8421e-13,25,25,14.4,0,0
11,-5.6844e-13,25,25,14.43,0,0
11,-8.5265e-13,25,25,14.46,0,0
11,-8.5265e-13,25,25,14.49,0,0
11,-1.1369e-12,25,25,14.52,0,0
11,-1.4211e-12,25,25,14.55,0,0
11,-1.8474e-12,25,25,14.58,0,0
11,-2.1316e-12,25,25,14.61,0,0
11,-2.1316e-12,25,25,14.64,0,0
11,-1.9895e-12,25,25,14.67,0,0
11,-1.9895e-12,25,25,14.7,0,0
11,-1.8474e-12,25,25,14.73,0,0
11,-1.4211e-12,25,25,14.76,0,0
11,-9.9476e-13,25,25,14.79,0,0
11,-1.1369e-12,25,25,14.82,0,0
11,-1.1369e-12,25,25,14.85,0,0
11,-1.279e-12,25,25,14.88,0,0
11,-1.5632e-12,25,25,14.91,0,0
11,-1.8474e-12,25,25,14.94,0,0
11,-1.9895e-12,25,25,14.97,0,0
11,-1.9895e-12,25,25,15,0,0
